variable_name,site_name,datetime,value,longitude,latitude
"Depth to water level, ft below land surface",AS-69-12-206 (Bandera County Edwards GW Well 1),2022-06-22 12:30:00,250.86,-99.5671889,29.8677972
"Depth to water level, ft below land surface",AS-69-12-206 (Bandera County Edwards GW Well 1),2022-08-09 13:45:00,251.02,-99.5671889,29.8677972
"Depth to water level, ft below land surface",AS-69-23-402 (Hondo Canyon),2022-07-05 13:46:00,203.0,-99.2365278,29.66775
"Depth to water level, ft below land surface",AY-68-27-609 (Western Oak),2022-07-07 13:30:00,236.81,-98.6616667,29.56805556
"Depth to water level, ft below land surface",AY-68-27-609 (Western Oak),2022-08-22 13:46:00,242.93,-98.6616667,29.56805556
"Depth to water level, ft below land surface",AY-68-27-610 (Parkwood Park),2022-08-25 13:16:00,207.42,-98.6355556,29.54777778
"Depth to water level, ft below land surface",AY-68-27-610 (Parkwood Park),2022-08-25 17:48:00,207.4,-98.6355556,29.54777778
"Depth to water level, ft below land surface",AY-68-28-202 (Shavano Park 2),2022-08-30 15:30:00,264.82,-98.5486304,29.5877273
"Depth to water level, ft below land surface",AY-68-28-211 (Shavano Park at Fawn Drive),2022-08-30 12:50:00,247.12,-98.5486111,29.58777778
"Depth to water level, ft below land surface",AY-68-28-211 (Shavano Park at Fawn Drive),2022-09-20 14:18:00,247.68,-98.5486111,29.58777778
"Depth to water level, ft below land surface",AY-68-29-112 (Donella),2022-08-31 13:34:00,184.75,-98.48,29.5997222
"Depth to water level, ft below land surface",AY-68-29-112 (Donella),2022-09-20 13:33:00,184.66,-98.48,29.5997222
"Depth to water level, ft below land surface",AY-68-36-132 (Z DED),2022-06-27 15:53:00,208.1,-98.5955556,29.49527778
"Depth to water level, ft below land surface",AY-68-36-132 (Z DED),2022-08-24 14:54:00,206.79,-98.5955556,29.49527778
"Depth to water level, ft below land surface",BA-28-03-601,2022-09-06 14:32:00,17.72,-101.6379214,32.93065589
"Depth to water level, ft below land surface",JB-84-38-902 (Duval County CRN),2022-06-29 18:13:00,49.59,-98.267507,27.38642619
"Depth to water level, ft below land surface",JY-65-29-106 (Fort Bend Extensometer),2022-07-28 20:04:00,31.95,-95.7477778,29.72416667
"Depth to water level, ft below land surface",JY-65-29-106 (Fort Bend Extensometer),2022-08-30 13:38:00,31.85,-95.7477778,29.72416667
"Depth to water level, ft below land surface",KH-64-33-915,2022-07-27 14:29:00,20.3,-94.8952778,29.41638889
"Depth to water level, ft below land surface",KH-64-33-916,2022-07-27 14:37:00,29.2,-94.8952778,29.41638889
"Depth to water level, ft below land surface",KH-64-33-917,2022-07-27 14:40:00,32.39,-94.8952778,29.41638889
"Depth to water level, ft below land surface",KH-64-33-918,2022-07-27 14:44:00,47.28,-94.8952778,29.41638889
"Depth to water level, ft below land surface",KH-64-33-919,2022-07-27 14:48:00,47.67,-94.8952778,29.41638889
"Depth to water level, ft below land surface",KH-64-33-920 (Texas City Extensometer),2022-06-28 14:06:00,46.54,-94.8950028,29.416325
"Depth to water level, ft below land surface",KH-64-33-920 (Texas City Extensometer),2022-07-27 14:36:00,46.5,-94.8950028,29.416325
"Depth to water level, ft below land surface",KH-64-33-920 (Texas City Extensometer),2022-08-30 17:40:00,46.33,-94.8950028,29.416325
"Depth to water level, ft below land surface",KH-64-33-920 (Texas City Extensometer),2022-09-06 16:31:00,46.52,-94.8950028,29.416325
"Depth to water level, ft below land surface",KH-64-33-921,2022-07-27 14:52:00,13.44,-94.8952778,29.41638889
"Depth to water level, ft below land surface",KH-65-40-707 (Galveston),2022-06-28 13:16:00,92.39,-95.1102778,29.39416667
"Depth to water level, ft below land surface",KH-65-40-707 (Galveston),2022-09-14 14:01:00,93.68,-95.1102778,29.39416667
"Depth to water level, ft below land surface",LJ-65-07-902,2022-07-28 14:20:00,80.83,-95.1430556,29.91388889
"Depth to water level, ft below land surface",LJ-65-07-905 (Lake Houston Piezometer No. 2),2022-07-28 13:59:00,85.44,-95.145,29.91388889
"Depth to water level, ft below land surface",LJ-65-07-905 (Lake Houston Piezometer No. 2),2022-08-30 20:36:00,85.65,-95.145,29.91388889
"Depth to water level, ft below land surface",LJ-65-07-906,2022-07-28 13:49:00,175.93,-95.145,29.91388889
"Depth to water level, ft below land surface",LJ-65-07-907,2022-07-28 13:54:00,158.84,-95.145,29.91388889
"Depth to water level, ft below land surface",LJ-65-07-908,2022-07-28 13:57:00,173.85,-95.145,29.91388889
"Depth to water level, ft below land surface",LJ-65-07-909 (Lake Houston Extensometer),2022-07-28 13:53:00,166.98,-95.1455278,29.9132222
"Depth to water level, ft below land surface",LJ-65-07-909 (Lake Houston Extensometer),2022-08-30 20:19:00,166.54,-95.1455278,29.9132222
"Depth to water level, ft below land surface",LJ-65-12-725 (Addicks Piezometer No. 2),2022-08-30 17:49:00,14.83,-95.5866667,29.79083333
"Depth to water level, ft below land surface",LJ-65-12-726 (Addicks Extensometer),2022-07-28 19:08:00,359.91,-95.5861389,29.79069444
"Depth to water level, ft below land surface",LJ-65-12-726 (Addicks Extensometer),2022-08-30 17:40:00,371.66,-95.5861389,29.79069444
"Depth to water level, ft below land surface",LJ-65-12-729 (Addicks Piezometer No. 1),2022-08-30 17:52:00,152.08,-95.5866667,29.79083333
"Depth to water level, ft below land surface",LJ-65-14-735,2022-07-28 18:25:00,215.64,-95.3338889,29.79138889
"Depth to water level, ft below land surface",LJ-65-14-738 (Northeast Piezometer No. 4),2022-07-28 18:35:00,168.29,-95.3338889,29.79138889
"Depth to water level, ft below land surface",LJ-65-14-742,2022-07-28 18:22:00,184.61,-95.3338889,29.79138889
"Depth to water level, ft below land surface",LJ-65-14-745,2022-07-28 18:17:00,132.25,-95.3338889,29.79138889
"Depth to water level, ft below land surface",LJ-65-14-746 (Northeast Extensometer),2022-07-28 18:28:00,235.73,-95.3339722,29.79088889
"Depth to water level, ft below land surface",LJ-65-14-746 (Northeast Extensometer),2022-08-30 16:36:00,234.88,-95.3339722,29.79088889
"Depth to water level, ft below land surface",LJ-65-16-904,2022-07-27 18:04:00,106.28,-95.0305556,29.75777778
"Depth to water level, ft below land surface",LJ-65-16-922,2022-07-27 17:52:00,20.96,-95.0305556,29.75777778
"Depth to water level, ft below land surface",LJ-65-16-923,2022-07-27 17:55:00,72.79,-95.0305556,29.75777778
"Depth to water level, ft below land surface",LJ-65-16-925,2022-07-27 17:58:00,97.5,-95.0305556,29.75777778
"Depth to water level, ft below land surface",LJ-65-16-930 (Baytown C-1 Extensometer),2022-07-27 17:48:00,103.39,-95.03065,29.75784167
"Depth to water level, ft below land surface",LJ-65-16-930 (Baytown C-1 Extensometer),2022-08-30 19:05:00,102.84,-95.03065,29.75784167
"Depth to water level, ft below land surface",LJ-65-16-931 (Baytown C-2 Extensometer),2022-07-27 18:00:00,101.42,-95.03065,29.75784167
"Depth to water level, ft below land surface",LJ-65-16-931 (Baytown C-2 Extensometer),2022-08-30 19:11:00,101.41,-95.03065,29.75784167
"Depth to water level, ft below land surface",LJ-65-16-932,2022-07-27 17:47:00,129.59,-95.0305556,29.75777778
"Depth to water level, ft below land surface",LJ-65-16-933,2022-07-27 17:41:00,9.74,-95.0305556,29.75777778
